periode,food_n_beverages,clothing_footwear,house_water_electricity,furnishing,health,transport,finansial_services,sport,education_services,food_restaurants,other
January,119.19,108.59,107.92,114.17,113.2,119.22,99.65,108.53,112.58,115.82,121.74
February,119.76,108.81,107.99,114.39,113.46,118.96,99.63,108.61,112.61,116.02,121.88
March,120.18,108.99,107.71,114.63,113.46,119.6,99.6,108.73,112.61,116.3,122.22
April,120.59,109.65,107.79,114.89,113.75,120.6,99.58,108.78,112.61,116.7,123.05
May,121.17,109.15,107.84,115.12,113.88,119.93,99.59,108.89,112.62,116.87,123.22
June,121.64,109.24,107.95,115.21,114.14,119.81,99.59,109.02,112.63,117.13,123.17
July,121.91,109.44,107.97,115.27,114.36,120.5,99.57,109.21,113.37,117.3,123.16
August,121.61,109.14,107.92,115.38,114.48,120.48,99.56,109.29,114.34,117.47,123.26
September,122.03,109.21,107.94,115.5,114.52,120.83,99.81,109.3,114.58,117.59,123.5
October,122.27,109.17,108.03,115.62,114.65,121.5,99.79,109.39,114.66,117.71,123.79
November,123.78,109.13,108.07,115.58,114.89,121.59,99.77,109.5,114.67,117.79,124.44
December,125.1,109.33,108.08,115.69,114.94,122.14,99.84,110.09,114.67,117.83,125.01
