End of   Period,C P I ,"Food, Beverages, and Tobacco",Clothing and Footwear,"Housing,Water, Electricity and Household Fuels","Furnishings, Houshold Equipment and Routine Household Maintenance ",Health ,Transport,Communication and Financial Services,"Recreation, Sport and Culture",Education Services,Food and Beverages Services/Restaurants,Personal Care and Other Services,Year
January,104.33,105.889733,104.445808,102.613896,104.818501,105.301356,102.96642,100.458643,103.331462,106.066696,105.423511,106.429762,2020
February,104.62,106.9,104.67,102.7,104.88,105.66,102.59,100.45,103.4,106.09,105.6,106.87,2020
March,104.72,107.01,104.8,102.72,105.17,105.88,102.15,100.36,103.42,106.09,105.98,107.93,2020
April,104.8,107.11,104.84,102.81,105.26,106.12,101.72,100.02,103.45,106.09,106.17,109.22,2020
May,104.87,106.77,104.93,102.85,105.36,106.41,102.61,100.1,103.51,106.09,106.25,109.35,2020
June,105.06,107.27,104.95,102.81,105.33,106.55,103.03,100.04,103.64,106.09,106.55,109.26,2020
July,104.95,106.49,105.04,102.8,105.44,106.86,102.85,100.06,103.8,106.26,106.71,110.28,2020
August,104.9,105.57,105.11,102.82,105.52,106.92,102.71,100.09,103.85,106.87,106.85,112.51,2020
September,104.85,105.18,105.1,102.89,105.68,107.09,102.37,100.08,103.85,107.53,106.99,112.79,2020
October,104.92,105.49,105.19,102.85,105.65,107.25,102.23,100.06,103.87,107.57,107.19,112.67,2020
November,105.21,106.4,105.34,102.81,105.73,107.59,102.54,100.08,103.91,107.7,107.31,112.41,2020
December,105.68,107.99,105.37,102.84,105.81,107.79,103.01,100.07,103.9,107.7,107.6,112.08,2020
January,105.95,108.87,105.49,102.87,105.97,107.99,102.7,100.11,103.95,107.74,107.96,112.34,2021
February,106.06,108.95,105.55,102.91,106.35,108.2,103.01,100.08,104.01,107.74,108.26,112.18,2021
March,106.15,109.39,105.57,102.95,106.46,108.29,102.75,100.05,104.06,107.75,108.44,111.74,2021
April,106.29,109.61,105.77,103.02,106.74,108.49,102.75,100.05,104.27,107.76,108.67,112.06,2021
May,106.63,110.03,106.32,103.05,107.03,108.57,103.48,100.06,104.4,107.77,109.15,112.72,2021
June,106.46,109.25,106.19,103.12,107.21,108.6,103.12,100.05,104.64,107.8,109.41,113.12,2021
July,106.54,109.41,106.27,103.17,107.33,108.86,103.11,100.08,104.69,107.99,109.47,113.04,2021
August,106.57,109.06,106.2,103.22,107.62,109.21,103.06,100.07,104.62,109.29,109.58,113.21,2021
September,106.53,108.55,106.49,103.3,107.84,109.34,103.13,100.06,104.74,109.4,109.85,113.26,2021
October,106.66,108.66,106.65,103.38,107.98,109.41,103.47,100.1,104.78,109.42,109.98,113.28,2021
November,107.05,109.57,106.75,103.52,108.36,109.42,104,100.1,104.97,109.42,110.22,113.7,2021
December,107.66,111.33,106.98,103.62,108.62,109.6,104.64,100,105.07,109.42,110.48,113.98,2021
January,108.26,112.63,107.44,104.15,109.48,109.86,104.66,99.87,105.5,109.51,110.88,114.69,2022
February,108.24,111.68,107.54,104.41,109.97,110.22,104.73,99.83,105.86,109.59,111.47,115.38,2022
March,108.95,113.32,107.72,104.84,110.52,110.53,105.17,99.83,106.04,109.6,111.83,116.69,2022
April,109.98,115.31,107.71,105.13,111.25,110.87,107.72,99.83,106.25,109.6,112.44,117.56,2022
May,110.42,116.21,107.49,105.23,111.73,111.08,108.42,99.86,106.57,109.61,113.05,117.94,2022
June,111.09,118.27,107.66,105.33,112.32,111.27,108.74,99.82,106.7,109.62,113.42,118.13,2022
July,111.8,119.64,107.91,105.82,112.6,111.36,109.97,99.81,107.05,109.99,113.8,118.45,2022
August,111.57,117.49,107.93,106.43,112.88,111.48,109.88,99.78,107.27,112.02,114.18,118.79,2022
September,112.87,117.14,108.15,106.6,113.27,112.12,119.64,99.75,107.6,112.25,114.83,119.12,2022
October,112.75,116,108.25,106.79,113.47,112.36,120.06,99.68,107.77,112.42,115.17,119.41,2022
November,112.85,116,108.38,106.87,113.73,112.59,120.07,99.7,108.01,112.44,115.28,119.93,2022
December,113.59,117.82,108.48,107.54,113.9,112.75,120.61,99.64,108.26,112.45,115.44,120.72,2022
January,113.98,119.19,108.59,107.92,114.17,113.2,119.22,99.65,108.53,112.58,115.82,121.74,2023
February,114.16,119.76,108.81,107.99,114.39,113.46,118.96,99.63,108.61,112.61,116.02,121.88,2023
March,114.36,120.18,108.99,107.71,114.63,113.46,119.6,99.6,108.73,112.61,116.3,122.22,2023
April,114.74,120.59,109.65,107.79,114.89,113.75,120.6,99.58,108.78,112.61,116.7,123.05,2023
May,114.84,121.17,109.15,107.84,115.12,113.88,119.93,99.59,108.89,112.62,116.87,123.22,2023
June,115,121.64,109.24,107.95,115.21,114.14,119.81,99.59,109.02,112.63,117.13,123.17,2023
July,115.24,121.91,109.44,107.97,115.27,114.36,120.5,99.57,109.21,113.37,117.3,123.16,2023
August,115.22,121.61,109.14,107.92,115.38,114.48,120.48,99.56,109.29,114.34,117.47,123.26,2023
September,115.44,122.03,109.21,107.94,115.5,114.52,120.83,99.81,109.3,114.58,117.59,123.5,2023
October,115.64,122.27,109.17,108.03,115.62,114.65,121.5,99.79,109.39,114.66,117.71,123.79,2023
November,116.08,123.78,109.13,108.07,115.58,114.89,121.59,99.77,109.5,114.67,117.79,124.44,2023
December,116.56,125.1,109.33,108.08,115.69,114.94,122.14,99.84,110.09,114.67,117.83,125.01,2023
January,105.19,108.54,102.21,102.14,102.84,103.16,108.85,99.7,103.32,102.95,104.38,106.18,2024
February,105.58,109.63,102.28,102.2,102.96,103.39,109.04,99.67,103.41,102.97,104.56,106.4,2024
March,106.13,111.19,102.51,102.22,103.04,103.61,109.08,99.65,103.42,103.12,104.9,107.14,2024
April,106.4,111.16,102.98,102.23,103.2,103.68,110.09,99.63,103.49,103.14,105.22,108.56,2024
